No,Reference,SMP name,Smiles,Molar ratio,Tg,Rubbery modulus
1,"Castro et al. 
2010[1]",tba & PEGDMA,"{C=C(C)C(=O)OCCCC, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.61:0.39,49.36,4
2,Cuminet et al 2023[2],vm-RvOH,"{C(=C\c3cc(OCC1CO1)cc(OCC2CO2)c3)/c5ccc(OCC4CO4)cc5, O=C(O)C(F)(F)Oc2ccc(/C=C/c1cc(OC(F)(F)C(=O)O)cc(OC(F)(F)C(=O)O)c1)cc2}",0.5:0.5,117,46
3,Yakacki et al 2008[3],MMA-co-PEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.91:0.09,56,12.6
4,"Wu et al, 2019[5]",DLP SMP #3,"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCCCCCOC(=O)C=C}",0.8:0.2,58.8,46.7
5,"Liu et al, 2006[6]", P(MMA-co-VP)/PEG,"{C=C(C)C(=O)OCCCC, C=CN1CCCC1=O, C=C(C)C(=O)OCCOC(=O)C(C)C}",0.34:0.21:0.45,72,6.827
6,"Xiao et al, 2015[7]",Polymide,"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.5:0.5,238,7.6
7,"Lin and Chen,1999[10]",A1,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, C=C(C)CCCCC(=O)O}",0.55:0.27:0.18,10.79,1.4
8,"Nair et al., 2010[12]",TMPTMP/TATATO,"{CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS, C=CCn1c(=C)n(CC=C)c(=O)n(CC=C)c1=O}",0.5:0.5,36,18
9,"Barszczewska et al, 2017[13]",MMA-co-TEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=C)OCCOC(=C)C(=C)C}",1.0:0.0,126.1,1.02
10,"Zheng et al, 2015 [16]",EPON1,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.5:0.5,40,4
11,"Jo et al, 2019 [17]",ESMP-0-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.73:0.27,140,13.6
12,"Jo et al, 2019 [17]",ESMP-0-19,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.75:0.25,125.9,8
13,"Lakhera et al, 2012 [20]",tba-co-XLS(10%),"{C=C(C)C(=C)OCOCCOC(=O)C(=C)C, C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.96:0.03:0.01,53.31,1.85
14,"Ortega et al, 2012[21]",tba-co-PEGDMA(10%),"{C=C(C)C(=O)OCCCC, CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O}",0.964:0.02:0.016,56,3.8
15,"Zheng et al, 2015 [16]",EPON4,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.67:0.33,80,14.1
16,"Santiago et al, 2016[22]",90-10-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.81:0.19:0,60,16
17,"Santiago et al, 2016[22]",80-20-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.83:0.16:0.01,68,17
18,"Santiago et al, 2016[22]",50-50-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.88:0.1:0.02,96,34
19,"Santiago et al, 2016[22]",30-70-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.91:0.06:0.03,117,52
20,"Rimdusit et al, 2013[24]",ENDB1/1/1,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N}",0.33:0.33:0.33,47,21.2
21,"Rimdusit et al, 2013[24]",ENDB1/1/0.8/0.2,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N, CC(C)(c3ccc(C2COCN(c1ccccc1)C2)cc3)c6ccc5CCN(c4ccccc4)Cc5c6}",0.33:0.33:0.27:0.07,72,26.9
22,"Rimdusit et al, 2013[24]",ENDB1/1/0.6/0.4,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N, CC(C)(c3ccc(C2COCN(c1ccccc1)C2)cc3)c6ccc5CCN(c4ccccc4)Cc5c6}",0.33:0.33:0.2:0.13,80,34.44
23,"Rimdusit et al, 2013[24]",ENDB1/1/0.2/0.8,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N, CC(C)(c3ccc(C2COCN(c1ccccc1)C2)cc3)c6ccc5CCN(c4ccccc4)Cc5c6}",0.33:0.33:0.07:0.27,92,39.48
24,"Rimdusit et al, 2013[24]",ENDB1/1/0.4/0.6,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N, CC(C)(c3ccc(C2COCN(c1ccccc1)C2)cc3)c6ccc5CCN(c4ccccc4)Cc5c6}",0.33:0.33:0.13:0.2,85,38.95
25,"Cheng et al , 2020[25]",DER-NMA-0.1TEOA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,  CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.476:0.476:0.048,134.09,17
26,"Arnebold et al, 2016[27]",Epoxy- PPDL(90-10),"{O=C(OCC2CCC1OC1C2)C4CCC3OC3C4, O=C(CCCCCCCCCCCCCCO)OCCOC(=O)CCCCCCCCCCCCCCCCO}",0.99:0.01,163,690
27,"Arnebold et al, 2017[27]",Epoxy- PPDL(80-20),"{O=C(OCC2CCC1OC1C2)C4CCC3OC3C4, O=C(CCCCCCCCCCCCCCO)OCCOC(=O)CCCCCCCCCCCCCCCCO}",0.98:0.02,143,320
28,"Arnebold et al, 2017[27]",Epoxy- PPDL(70-30),"{O=C(OCC2CCC1OC1C2)C4CCC3OC3C4, O=C(CCCCCCCCCCCCCCO)OCCOC(=O)CCCCCCCCCCCCCCCCO}",0.97:0.03,105,50
29,"Arnebold et al, 2016[27]",Epoxy- PPDL(50-50),"{O=C(OCC2CCC1OC1C2)C4CCC3OC3C4, O=C(CCCCCCCCCCCCCCO)OCCOC(=O)CCCCCCCCCCCCCCCCO}",0.94:0.06,60,1
30,"Arnebold et al, 2017[27]",Epoxy- PCL(50-50),"{O=C(OCC2CCC1OC1C2)C4CCC3OC3C4, O=C(CCCCCO)OCCCCOC(=O)CCCCCO}",0.94:0.06,28,3
31,"Arnebold et al, 2017[27]",Epoxy- PCL(60-40),"{O=C(OCC2CCC1OC1C2)C4CCC3OC3C4, O=C(CCCCCO)OCCCCOC(=O)CCCCCO}",0.96:0.04,62,9
32,"Arnebold et al, 2016[27]",Epoxy- PCL(70-30),"{O=C(OCC2CCC1OC1C2)C4CCC3OC3C4, O=C(CCCCCO)OCCCCOC(=O)CCCCCO}",0.98:0.02,85,30
33,"Arnebold et al, 2016[27]",Epoxy- PCL(90-10),"{O=C(OCC2CCC1OC1C2)C4CCC3OC3C4, O=C(CCCCCO)OCCCCOC(=O)CCCCCO}",0.99:0.01,128,370
34,"Jo et al, 2018 [29]",D230-0-1,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.758:0.242,104.5,4
35,"Jo et al, 2018 [29]",D230-0-2,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.74:0.27,125.9,8
36,"Jo et al, 2018 [29]",D230-9,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.71:0.23:0.07,133.1,13
37,"Jo et al, 2018 [29]",D230-20,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.66:0.21:0.13,155.9,27.2
38,"Jo et al, 2018 [29]",D400-3,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.74:0.24:0.02,112,6.1
39,"Jo et al, 2018 [29]",D400-8,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.71:0.23:0.06,118.6,10.6
40,"Jo et al, 2018 [29]",D400-14,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.68:0.22:0.1,128.4,16.8
41,"Xie et al, 2009[30]",Ref,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N }",0.67:0.33,93.4,18.11
42,"Rousseau et al, 2010 [32]",E25-NGDE,"{OC(COc3ccc(c2ccc(OCC1CO1)cc2)cc3)COc6ccc(c5ccc(OCC4CO4)cc5)cc6, CC(N)COCC(C)N, CC(OCC1CO1)C(C)(C)COCC2CO2}",0.048:0.367:0.585,31.4,4.5
43,"Rousseau et al, 2010 [32]",E50-NGDE,"{OC(COc3ccc(c2ccc(OCC1CO1)cc2)cc3)COc6ccc(c5ccc(OCC4CO4)cc5)cc6, CC(N)COCC(C)N, CC(OCC1CO1)C(C)(C)COCC2CO2}",0.12:0.44:0.44,48.1,9.46
44,"Rousseau et al, 2010 [32]",E75-NGDE,"{OC(COc3ccc(c2ccc(OCC1CO1)cc2)cc3)COc6ccc(c5ccc(OCC4CO4)cc5)cc6, CC(N)COCC(C)N, CC(OCC1CO1)C(C)(C)COCC2CO2}",0.2:0.52:0.28,72,14.34
45,"Rousseau et al, 2010 [32]",E100-NGDE,"{OC(COc3ccc(c2ccc(OCC1CO1)cc2)cc3)COc6ccc(c5ccc(OCC4CO4)cc5)cc6, CC(N)COCC(C)N}",0.34:0.66,93.1,18.89
46,"Santiago et al, 2016[22]",60-40-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.86:0.12:0.02,68,29
47,"Xu et al, 2009[33]",HYPU0-1,"{CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC, CC1(C)CC(N=C=O)CC(C)(N=C=O)C1}",0.5:0.5,57,16.34
48,"Xu et al, 2009[33]",HYPU1-4,"{CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC, CC1(C)CC(N=C=O)CC(C)(N=C=O)C1, OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO}",0.17:0.17:0.67,50.5,13.71
49,"Xu et al, 2009[33]",HYPU1-2,"{CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC, CC1(C)CC(N=C=O)CC(C)(N=C=O)C1, OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO}",0.25:0.25:0.5,47.5,8.762
50,"Xu et al, 2009[33]",HYPU1-1,"{CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC, CC1(C)CC(N=C=O)CC(C)(N=C=O)C1, OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO}",0.33:0.33:0.33,35.9,3.85
51,Yakacki et al 2008[3],MMA-co-PEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.85:0.15,76,12.8
52,Yakacki et al 2008[3],MMA-co-PEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.71:0.29,92,11.3
53,"Barszczewska et al, 2017[13]",MMA-co-TEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C}",1.0:0.0,126.3,3.63
54,"Barszczewska et al, 2017[13]",MMA-co-TEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C}",0.99:0.01,128.6,5.24
55,"Barszczewska et al, 2017[13]",MMA-co-TEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C}",0.98:0.02,131.7,8.9
56,"Barszczewska et al, 2017[13]",MMA-co-TEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C}",0.96:0.04,135.8,19.48
57,"Barszczewska et al, 2017[13]",MMA-co-TEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C}",0.92:0.08,144.5,53.41
58,"Nair et al., 2010[12]",tba/PEGDMA,"{C=C(C)C(=O)OCCCC, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.5:0.5,35,23
59,"Grishchuck et al., 2011 [34]",EP(DETA)-Ref,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN}",0.67:0.33,130,33
60,"Grishchuck et al., 2011 [34]",EP(DETA/DDM)-Ref,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.67:0.17:0.17,155,41
61,"Grishchuck et al., 2011 [34]",EP(DDM)-Ref,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.67:0.33,174,43
62,"Grishchuck et al., 2011 [34]",EP(DETA)/BOX 75/25,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN}",0.56:0.28:0.16,134,28
63,"Grishchuck et al., 2011 [34]",EP(DDM)/BOX 75/25,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN,Nc2ccc(Cc1ccc(N)cc1)cc2}",0.55:0.28:0.17,164,30
64,"Grishchuck et al., 2012 [35]",DGEBA/BOX(75/25),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN }",0.75:0.25,164,30
65,"Grishchuck et al., 2012 [35]",DGEBA/BOX(50/50),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.5:0.5,173,30
66,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(67.5/22.5/10),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.68:0.23:0.1,159,24
67,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(45/45/10),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6}",0.45:0.45:0.1,157,16
68,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(42.5/42.5/10),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6}",0.43:0.43:0.15,150,15
69,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(40/40/20),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.4:0.4:0.2,147,14
70,"Grishchuck et al., 2012 [35]",DGEBA/BOX(25/75),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.25:0.75,183,30
71,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(22.5/67.5/10),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.23:0.68:0.1,173,24
72,"Grishchuck et al., 2012 [35]",TGPAP/BOX(50/50),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.5:0.5,191,55
73,"Grishchuck et al., 2012 [35]",TGPAP/BOX/ETBN(45/45/10),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.45:0.45:0.1,185,38
74,"Grishchuck et al., 2012 [35]",TGDDM/BOX(50/50),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.5:0.5,191,59
75,"Grishchuck et al., 2012 [35]",TGDDM/BOX/ETBN(45/45/10),"{ CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.45:0.45:0.1,185,46
76,"Xiao et al, 2015[7]",Polymide(A1),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.504:0.496,240,7.8
77,"Xiao et al, 2015[7]",Polymide(A2),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.512:0.488,241,7.9
78,"Xiao et al, 2015[7]",Polymide(A3),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.519:0.481,243,8.8
79,"Xiao et al, 2015[7]",Polymide(A4),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.524:0.476,242,10.5
80,"Jo et al, 2019 [17]",ESMP-10-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.71:0.04:0.25,138.8,14.8
81,"Jo et al, 2019 [17]",ESMP-20-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.66:0.08:0.26,138.8,15.9
82,"Jo et al, 2019 [17]",ESMP-30-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.6:0.13:0.27,138.8,16.7
83,"Sunitha et al, 2013 [36]",,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, C#CCCc1ccccc1Cc4cccc(Cc3cccc(Cc2ccccc2CC#C)c3O)c4CCC#C}",0.5:0.5,79,29.83
84,"Lin and Chen,1999[10]",A2,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.571:0.143:0.286,57.73,3.85
85,"Lin and Chen,1999[10]",A3,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.581:0.097:0.322,92.92,4.96
86,"Lin and Chen,1999[10]",A4,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.585:0.073:0.341,116.5,6.56
87,"Ariraman et al, 2015[38]",DGEBA/30 wt% BCC,"{N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4 }",0.7:0.3,110,5.22
88,"Ariraman et al, 2015[38]",DGEBA/40 wt% BCC,"{N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4 }",0.6:0.4,135,12.41
89,"Ariraman et al, 2015[38]",DGEBA/50 wt% BCC,"{N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4 }",0.5:0.5,145,7.83
90,"Feldkamp & Rousseau, 2011 [39]",E-148,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN}",0.67:0.33,102,23
91,"Feldkamp & Rousseau, 2011 [39]",E-176,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCCOCCOCCCN}",0.667:0.333,96,24.3
92,"Feldkamp & Rousseau, 2011 [39]",E-230,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.676:0.324,95,14.3
93,"Feldkamp & Rousseau, 2011 [39]",E-230(a),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.6774:0.3226,93,14.1
94,"Feldkamp & Rousseau, 2011 [39]",E-230(b),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.6875:0.3125,88,11.7
95,"Feldkamp & Rousseau, 2011 [39]",E-230(c),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.7127:0.2873,76,6.3
96,"Feldkamp & Rousseau, 2011 [39]",E-230(07)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.612:0.235:0.153,83,9.7
97,"Feldkamp & Rousseau, 2011 [39]",E-230(17)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.58:0.157:0.263,73,8.3
98,"Feldkamp & Rousseau, 2011 [39]",E-230(60)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.533:0.067:0.4,58,2.4
