No,Reference,SMPname,Smiles,Molar ratio,Tg,High Temp
47,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(67.5/22.5/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.675:0.225:0.1,159,189
48,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(45/45/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6}",0.45:0.45:0.1,157,187
49,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(42.5/42.5/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6}",0.425:0.425:0.15,150,180
50,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(40/40/20),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.4:0.4:0.2,147,177
51,"Grishchuck et al., 2012 [35]",DGEBA/BOX(25/75),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.25:0.75,183,213
52,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(22.5/67.5/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.225:0.675:0.1,173,203
53,"Grishchuck et al., 2012 [35]",TGPAP/BOX(50/50),"{c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.5:0.5,191,221
54,"Grishchuck et al., 2012 [35]",TGPAP/BOX/ETBN(45/45/10),"{c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.45:0.45:0.1,185,215
55,"Grishchuck et al., 2012 [35]",TGDDM/BOX(50/50),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.5:0.5,206,236
56,"Grishchuck et al., 2012 [35]",TGDDM/BOX/ETBN(45/45/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.45:0.45:0.1,189,219
57,"Xiao et al, 2015[7]",Polymide(A1),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.504:0.496,240,260
58,"Xiao et al, 2015[7]",Polymide(A2),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.512:0.488,241,261
59,"Xiao et al, 2015[7]",Polymide(A3),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.519:0.481,243,263
60,"Xiao et al, 2015[7]",Polymide(A4),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.524:0.476,242,262
61,"Jo et al, 2019 [17]",ESMP-10-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.71:0.04:0.25,135.8,175.8
62,"Jo et al, 2019 [17]",ESMP-20-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.66:0.08:0.26,126.8,166.8
63,"Jo et al, 2019 [17]",ESMP-30-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.6:0.13:0.27,121.2,161.2
64,"Sunitha et al, 2013 [36]",,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, C#CCCc1ccccc1Cc4cccc(Cc3cccc(Cc2ccccc2CC#C)c3O)c4CCC#C}",0.5:0.5,79,71.67
65,"Leonardi et al, 2011 [37]",,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CCCCCCCCCCCN, NCc1cccc(CN)c1}",0.55:0.36:0.09,48.36,50.58
66,"Ariraman et al, 2015[38]",DGEBA/30 wt% BCC,"{N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4 }",0.7:0.3,110,117.97
67,"Ariraman et al, 2015[38]",DGEBA/40 wt% BCC,"{N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4 }",0.6:0.4,135,136.68
68,"Ariraman et al, 2015[38]",DGEBA/50 wt% BCC,"{N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4 }",0.5:0.5,145,146.96
69,"Feldkamp & Rousseau, 2011 [39]",E-148,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN}",0.67:0.33,102,127
70,"Feldkamp & Rousseau, 2011 [39]",E-176,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCCOCCOCCCN}",0.667:0.333,96,122
71,"Feldkamp & Rousseau, 2011 [39]",E-230,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.676:0.324,95,125
72,"Feldkamp & Rousseau, 2011 [39]",E-230(a),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.6774:0.3226,93,125
73,"Feldkamp & Rousseau, 2011 [39]",E-230(b),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.6875:0.3125,88,120
74,"Feldkamp & Rousseau, 2011 [39]",E-230(c),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.7127:0.2873,76,115
75,"Feldkamp & Rousseau, 2011 [39]",E-230(07)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.612:0.235:0.153,83,115
76,"Feldkamp & Rousseau, 2011 [39]",E-230(17)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.58:0.157:0.263,73,108
77,"Feldkamp & Rousseau, 2011 [39]",E-230(60)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.533:0.067:0.4,58,94
78,"Feldkamp & Rousseau, 2011 [39]",E-230(17)tDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(C)N}",0.578:0.158:0.264,87,124
79,"Feldkamp & Rousseau, 2011 [39]",E-230(17)nBA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(C)N}",0.578:0.158:0.264,81,118
80,"Feldkamp & Rousseau, 2011 [39]",E-230(17)nHA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCCCCCCN}",0.63:0.14:0.23,62,103
81,"Feldkamp & Rousseau, 2011 [39]",D-148(10)230,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, CC(N)COCC(C)OCC(C)OCC(C)N}",0.655:0.031:0.314,97,127
82,"Feldkamp & Rousseau, 2011 [39]",D-148(1)400,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N}",0.655:0.157:0.188,72,101
83,"Feldkamp & Rousseau, 2011 [39]",D-148(002)230,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, CC(N)COCC(C)OCC(C)OCC(C)N}",0.655:0.338:0.007,102,129
84,"Feldkamp & Rousseau, 2011 [39]",D-148(002)400,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N}",0.655:0.338:0.007,101,127
85,"Feldkamp & Rousseau, 2011 [39]",D-148(002)2000,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N}",0.655:0.338:0.007,96,122
86,"Feldkamp & Rousseau, 2011 [39]",D-403(1)403,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N}",0.7403:0.2597,81,144
87,"Feldkamp & Rousseau, 2011 [39]",E-148(1)900,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N, CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N}",0.667:0.165:0.168,37,72
88,"Feldkamp & Rousseau, 2011 [39]",E-148(05)900,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N, CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N}",0.669:0.222:0.109,54,90
89,"Feldkamp & Rousseau, 2011 [39]",E-148(03)900,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N, CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N}",0.6666:0.2488:0.0846,62,96
90,"Feldkamp & Rousseau, 2011 [39]",E-148(02)900,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N, CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N}",0.654:0.277:0.069,66,101
91,"Feldkamp & Rousseau, 2011 [39]",D-148(03)900,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N, CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N}",0.654:0.262:0.084,64,99
